GPA,Programming_Skill,DBMS_Knowledge,Computer_Networks,Mathematics_Statistics,Web_Development,App_Development,Data_Analysis,Cybersecurity,Cloud_DevOps,UI_UX_Design,Testing_Debugging,Problem_Solving,Analytical_Thinking,Creativity,Communication_Skill,Leadership,Teamwork,Preferred_Work_Type,Work_Style,Career_Role
5.4,8,5,5,2,8,4,1,4,1,6,7,8,8,8,7,5,6,Technical,Team,Web Developer
5.03,9,6,3,10,1,1,7,3,6,3,4,7,8,3,6,7,5,Analytical,Individual,Machine Learning Engineer
5.17,9,8,5,6,6,5,1,4,1,1,8,9,9,3,4,4,6,Technical,Individual,Software Engineer
4.54,6,5,6,3,2,1,2,6,7,1,6,7,6,4,4,4,5,Technical,Team,System Administrator
5.3,7,7,3,4,5,10,2,4,4,5,7,7,8,7,4,5,4,Technical,Individual,Mobile App Developer
5.0,5,6,5,7,3,3,8,3,3,1,5,6,9,3,8,5,5,Analytical,Team,Data Analyst
4.86,6,5,5,4,4,1,5,2,2,1,8,6,6,5,6,5,5,Technical,Team,Software Tester
4.9,3,6,4,5,2,1,6,1,3,2,4,7,8,4,7,7,8,Creative,Team,IT Project Coordinator
5.0,8,2,7,4,4,1,5,5,8,5,6,6,7,4,4,2,7,Technical,Team,Cloud Engineer
5.23,10,6,4,8,3,2,8,1,7,1,7,9,9,6,7,4,5,Analytical,Individual,Machine Learning Engineer
4.99,6,5,5,8,6,2,6,2,2,3,2,9,7,2,7,4,6,Analytical,Individual,Data Analyst
5.19,8,6,2,10,4,1,7,2,5,1,6,10,7,3,7,8,7,Technical,Team,Machine Learning Engineer
5.01,6,4,5,5,7,2,2,3,3,8,7,8,7,6,6,3,5,Technical,Team,Web Developer
4.96,5,3,9,3,2,1,4,10,5,1,5,8,8,4,4,5,7,Technical,Individual,Cybersecurity Analyst
5.15,7,4,3,10,3,2,7,3,5,1,4,7,10,6,10,2,8,Analytical,Team,Machine Learning Engineer
4.87,5,4,8,2,1,1,2,10,3,1,8,8,8,2,6,5,7,Analytical,Individual,Cybersecurity Analyst
5.27,7,7,6,5,4,9,4,3,2,5,7,6,7,6,4,5,5,Technical,Individual,Mobile App Developer
4.44,7,3,7,3,3,2,4,3,6,1,5,7,8,2,5,3,5,Technical,Team,Cloud Engineer
4.67,4,2,1,5,3,2,5,2,2,1,1,7,8,3,8,10,7,Analytical,Team,IT Project Coordinator
5.0,5,6,8,5,1,2,6,5,7,1,5,9,6,5,6,3,5,Technical,Team,Cloud Engineer
5.17,9,6,3,5,5,9,4,3,5,7,6,8,6,4,5,3,6,Technical,Individual,Mobile App Developer
4.96,8,6,6,4,2,4,3,4,2,4,7,7,8,3,4,5,6,Technical,Individual,Software Engineer
5.18,10,7,5,10,1,3,9,1,5,5,4,10,7,5,6,4,6,Analytical,Individual,Machine Learning Engineer
4.92,3,3,6,3,1,3,4,4,10,1,8,7,8,4,7,2,6,Technical,Team,Cloud Engineer
5.0,6,4,9,4,3,2,5,10,6,1,5,6,7,1,6,3,7,Analytical,Individual,Cybersecurity Analyst
3.97,2,2,2,2,3,2,2,1,2,9,1,5,6,8,8,4,8,Creative,Team,UI/UX Designer
4.63,5,2,1,4,3,4,5,1,2,2,4,8,5,5,10,7,10,Analytical,Team,IT Project Coordinator
5.11,6,7,7,6,3,3,2,3,9,1,4,7,7,5,7,4,8,Creative,Team,Cloud Engineer
5.03,10,5,4,6,3,8,3,4,2,4,6,6,8,5,5,1,7,Technical,Individual,Mobile App Developer
4.3,5,7,3,3,2,2,3,1,2,1,2,5,8,3,9,8,8,Analytical,Team,IT Project Coordinator
4.92,2,5,2,4,3,1,5,1,3,1,4,5,6,3,7,8,8,Analytical,Team,IT Project Coordinator
4.84,6,5,7,4,1,2,1,7,6,1,7,9,8,1,6,3,6,Technical,Individual,System Administrator
4.41,2,2,3,7,1,2,4,2,1,1,4,7,8,6,7,7,9,Creative,Team,IT Project Coordinator
4.66,7,4,5,5,2,4,5,1,3,1,6,6,9,5,4,5,5,Technical,Team,Software Tester
4.89,4,5,5,9,2,3,9,2,4,3,1,8,9,2,7,5,5,Analytical,Team,Data Analyst
5.0,5,6,9,4,5,3,2,8,6,1,5,7,9,3,4,5,4,Technical,Team,Cybersecurity Analyst
4.84,5,3,4,8,3,1,7,1,3,2,2,8,9,3,10,5,7,Creative,Team,Business Analyst
4.9,7,5,5,4,4,3,2,1,3,2,7,7,7,5,2,2,7,Technical,Team,Software Tester
5.32,10,4,2,10,2,5,9,3,7,5,4,9,9,4,6,3,6,Creative,Individual,Machine Learning Engineer
5.13,10,4,4,4,4,7,1,1,2,9,6,8,10,5,3,5,5,Technical,Individual,Mobile App Developer
5.01,9,5,3,4,2,10,3,5,4,4,6,6,5,6,4,4,6,Technical,Individual,Mobile App Developer
5.38,9,8,4,6,6,9,2,2,2,3,6,9,6,2,7,4,8,Analytical,Individual,Software Engineer
4.99,4,3,3,5,4,2,2,1,1,1,8,9,6,4,6,2,5,Technical,Team,Software Tester
5.57,9,6,6,3,5,9,1,4,7,5,6,9,8,4,6,4,5,Technical,Individual,Mobile App Developer
4.86,2,5,4,7,1,1,6,2,3,1,4,8,9,4,8,5,7,Technical,Team,Business Analyst
5.31,6,7,4,10,5,2,7,3,4,4,5,8,9,4,7,4,7,Analytical,Individual,Data Analyst
4.9,1,6,1,7,1,1,7,1,3,2,4,8,9,4,9,6,7,Analytical,Team,Business Analyst
4.87,7,7,4,4,3,7,4,3,4,2,7,7,5,6,6,2,4,Technical,Individual,Mobile App Developer
5.08,10,9,4,4,4,4,4,1,4,1,8,8,9,3,5,5,4,Technical,Individual,Software Engineer
4.45,7,4,2,7,3,2,3,2,1,1,7,9,6,2,7,5,5,Technical,Team,Software Tester
4.66,5,3,2,6,2,1,7,1,1,1,1,7,8,4,10,7,9,Analytical,Team,Business Analyst
5.03,8,5,3,2,10,3,2,2,4,5,4,6,8,7,4,5,8,Technical,Team,Web Developer
4.93,4,5,9,6,1,3,3,7,4,1,6,7,7,4,6,3,6,Technical,Team,Cybersecurity Analyst
4.98,10,6,4,3,2,7,4,5,2,5,7,9,5,6,3,3,2,Technical,Individual,Mobile App Developer
4.97,7,5,4,4,2,3,3,1,2,3,9,6,8,4,5,3,8,Technical,Team,Software Tester
4.77,6,5,1,5,2,1,5,2,2,2,3,8,9,5,8,8,9,Analytical,Team,Business Analyst
4.83,8,4,5,4,2,7,3,3,5,1,8,7,5,6,3,2,5,Technical,Individual,Mobile App Developer
4.92,5,3,7,5,3,3,3,5,10,1,4,8,7,2,4,3,6,Technical,Team,Cloud Engineer
5.23,7,3,7,5,4,3,3,7,4,5,5,7,9,4,6,4,7,Technical,Individual,Cybersecurity Analyst
4.91,6,5,4,9,1,1,9,1,4,3,4,6,8,4,6,4,3,Analytical,Individual,Data Analyst
5.02,9,5,3,7,6,1,5,2,7,3,6,8,8,6,4,3,6,Analytical,Individual,Machine Learning Engineer
4.94,7,3,7,3,2,3,2,8,6,2,6,8,7,2,7,4,6,Technical,Individual,Cybersecurity Analyst
4.69,3,3,3,4,1,2,5,2,1,1,4,9,6,6,9,8,7,Analytical,Individual,IT Project Coordinator
4.07,3,3,4,3,2,1,3,2,2,1,2,8,5,5,7,8,9,Analytical,Team,IT Project Coordinator
5.12,9,6,4,6,4,10,4,4,3,4,6,8,6,6,4,4,6,Creative,Individual,Mobile App Developer
5.0,7,8,4,7,3,2,8,3,1,2,1,8,9,4,6,6,6,Analytical,Individual,Data Analyst
4.76,4,8,7,4,2,2,3,4,7,2,4,6,6,2,4,5,7,Technical,Team,System Administrator
4.95,10,6,6,3,3,5,4,1,3,6,8,6,6,5,6,1,5,Technical,Individual,Mobile App Developer
5.02,5,7,4,6,1,2,5,1,3,2,3,7,10,5,10,8,7,Analytical,Team,Business Analyst
4.84,7,8,5,8,1,3,6,3,2,1,4,7,9,5,6,3,4,Analytical,Individual,Data Analyst
5.06,7,7,4,5,4,10,2,2,1,5,5,7,6,7,6,5,7,Technical,Individual,Mobile App Developer
5.03,10,7,4,3,5,10,4,2,5,7,7,9,7,5,6,3,4,Technical,Individual,Mobile App Developer
4.93,5,4,4,5,4,4,5,1,3,3,8,8,6,5,7,4,7,Technical,Team,Software Tester
5.47,8,7,5,5,4,9,3,5,3,4,5,9,6,6,6,2,8,Technical,Team,Mobile App Developer
4.72,2,4,3,5,1,2,6,2,3,2,3,6,10,4,8,6,8,Analytical,Team,Business Analyst
5.29,7,6,7,4,4,1,5,2,7,2,4,10,7,4,7,7,7,Technical,Team,Cloud Engineer
4.82,6,4,7,2,1,3,2,7,8,1,5,10,5,3,6,2,7,Technical,Team,System Administrator
4.73,5,3,9,4,1,1,2,8,6,1,5,7,9,4,2,3,5,Creative,Team,Cybersecurity Analyst
4.93,6,1,3,5,3,3,3,2,1,9,6,6,7,9,7,3,9,Creative,Team,UI/UX Designer
4.73,4,1,3,1,3,1,1,1,2,10,3,7,4,8,9,8,7,Creative,Team,UI/UX Designer
4.57,4,1,1,3,2,1,4,2,1,3,4,9,9,4,9,8,8,Analytical,Individual,Business Analyst
4.9,4,6,5,3,3,1,4,3,1,2,8,10,8,3,6,5,7,Technical,Team,Software Tester
4.86,7,5,6,3,1,2,2,2,9,1,6,10,3,2,8,2,8,Analytical,Team,Cloud Engineer
4.93,4,4,4,3,4,1,5,1,2,2,1,8,8,6,9,10,9,Analytical,Team,IT Project Coordinator
4.96,5,4,3,6,1,1,5,2,1,1,3,7,5,3,8,10,8,Analytical,Individual,IT Project Coordinator
5.69,9,6,4,9,1,3,10,2,6,2,4,9,10,5,6,2,9,Analytical,Individual,Machine Learning Engineer
4.94,4,7,8,5,1,3,1,6,7,1,5,6,6,2,7,3,5,Technical,Team,System Administrator
4.83,6,5,7,3,3,2,3,5,9,1,4,9,8,2,5,2,5,Technical,Individual,Cloud Engineer
5.18,8,5,6,4,3,9,3,5,4,4,7,8,7,4,3,4,4,Technical,Individual,Mobile App Developer
5.2,9,7,3,9,1,4,7,3,5,3,7,8,7,6,4,1,5,Creative,Individual,Machine Learning Engineer
4.45,3,4,6,2,1,1,1,4,7,2,4,4,8,3,4,5,5,Technical,Team,System Administrator
4.79,6,5,4,10,1,2,9,2,2,2,3,7,7,4,7,3,7,Analytical,Team,Data Analyst
5.04,7,7,4,7,4,4,3,3,5,2,5,10,9,3,4,4,6,Technical,Individual,Software Engineer
4.88,4,4,4,8,2,2,8,1,2,3,4,7,7,4,9,5,7,Analytical,Team,Business Analyst
5.18,10,6,5,7,2,2,7,1,6,1,4,10,10,4,4,4,7,Analytical,Individual,Machine Learning Engineer
4.85,8,5,4,3,2,1,5,2,2,3,8,7,9,5,7,3,8,Technical,Team,Software Tester
4.98,4,5,5,5,5,2,5,3,2,2,7,9,6,4,7,5,7,Technical,Team,Software Tester
5.04,7,4,8,4,1,3,3,4,9,2,5,8,7,3,5,3,10,Technical,Team,Cloud Engineer
5.06,9,6,5,10,4,1,8,1,4,3,6,10,9,3,5,3,6,Creative,Individual,Machine Learning Engineer
5.03,8,6,7,5,6,3,4,3,3,1,5,9,6,5,5,3,8,Technical,Individual,Software Engineer
4.73,4,3,3,5,3,1,5,2,2,1,2,6,7,6,7,7,7,Analytical,Team,IT Project Coordinator
5.06,7,4,4,4,9,2,3,5,1,8,2,6,5,8,7,5,8,Technical,Team,Web Developer
4.98,6,3,10,4,2,3,3,7,4,1,5,9,6,4,5,7,5,Technical,Team,Cybersecurity Analyst
5.01,7,5,9,3,4,2,3,9,5,2,5,6,9,3,3,5,6,Technical,Individual,Cybersecurity Analyst
